faithfulness,naturalness
0.4621,0.4414
0.4490,0.4253
0.4746,0.5031
0.4283,0.4813
0.4514,0.4417
0.4155,0.4472
0.3408,0.4070
0.4081,0.4387
0.4713,0.5019
0.4566,0.5081
